ExperimentID,ID,CGn,EGn,CGm,CGSD,EGm,EGSD,Type,d,Vd,SEd,Jdf,g,Vg,SEg
86,146,20,20,27.24,15.45,32.11,15.87,SR,0.310955439,0.101208666,0.318133095,0.98013245,0.304777517,0.097227079,0.31181257
86,147,20,20,36.77,17.05,40.16,17.55,ST,0.1959333,0.100479873,0.316985604,0.98013245,0.192040586,0.096526957,0.310687877
87,148,23,25,69.46,13.908,76.63,13.9,SR,0.51568537,0.08624838,0.293680744,0.983606557,0.507231512,0.083443743,0.288866306
87,149,23,25,53.07,18.368,72.83,18.35,SR,1.076334158,0.095545919,0.30910503,0.983606557,1.058689336,0.092438944,0.304037734
87,150,23,25,45.05,27.72,36,27.7,ST,-0.326602,0.084589395,0.29084256,0.983606557,-0.321247869,0.081838705,0.286074649
88,151,17,17,58.34,22.02,64.09,13.12,SR,0.317245351,0.119127127,0.345147978,0.976377953,0.309751366,0.113565546,0.336994876
88,152,17,17,37.65,20.01,49.56,4.38,ST,0.822274914,0.127590236,0.357197754,0.976377953,0.802851097,0.121633546,0.348760012
89,153,40,38,44.84,18.61,55.76,18.23,SR,0.592641511,0.053567225,0.231445944,0.99009901,0.586773773,0.052511739,0.2291544
89,154,40,38,47.77,18.63,47.09,19.61,ST,-0.035577166,0.051323903,0.226547794,0.99009901,-0.035224917,0.05031262,0.224304747
89,155,40,38,41.25,26.88,51.64,26.66,ST,0.388075793,0.052281192,0.228650808,0.99009901,0.384233459,0.051251046,0.226386939
90,156,44,47,27.2,4.29,26.34,5.22,SR,-0.179418718,0.044180743,0.210192156,0.991549296,-0.177902504,0.043437181,0.208415884
91,158,29,28,3.48,1.38,3.29,1.41,CL,-0.136219475,0.070359814,0.265254244,0.98630137,-0.134353454,0.068445351,0.261620624
91,159,29,28,35.06,26.48,45.83,29.87,SR,0.381980454,0.071476948,0.267351732,0.98630137,0.376747845,0.069532089,0.263689379
91,160,29,28,51.72,27.11,65.82,22.11,SR,0.568965119,0.073036705,0.270253039,0.98630137,0.561171076,0.071049405,0.266550942
91,162,29,28,51.53,28.4,68.06,25.46,SR,0.61229558,0.073485692,0.271082446,0.98630137,0.603907969,0.071486176,0.267368988
91,163,29,28,17.67,10.31,20.98,10.65,ST,0.315891305,0.071072372,0.26659402,0.98630137,0.311564027,0.06913852,0.262942047
92,164,25,28,2.84,1.14,2.68,1.19,CL,-0.137134527,0.0758917,0.275484482,0.985221675,-0.135107909,0.07366517,0.271413282
92,165,25,28,55.33,27.52,50.89,31.29,SR,-0.15012271,0.075926897,0.275548357,0.985221675,-0.147904148,0.073699335,0.271476214
92,166,25,28,66.29,18.84,56.12,33.2,SR,-0.371214353,0.077014287,0.27751448,0.985221675,-0.365728427,0.074754822,0.273413281
92,168,25,28,74.22,20.72,67.46,26.22,SR,-0.284144838,0.076475968,0.276542886,0.985221675,-0.279945654,0.074232297,0.272456045
92,169,25,28,20.75,10,21.65,10.96,ST,0.085558207,0.075783344,0.275287748,0.985221675,0.0842938,0.073559993,0.271219456
93,170,30,27,4.1,1.1,3.7,0.8,CL,-0.41244885,0.071862599,0.268072003,0.98630137,-0.406798866,0.069907246,0.264399784
93,171,30,27,32.2,4.8,28.1,5.2,SR,-0.821135445,0.076284962,0.276197324,0.98630137,-0.809887014,0.074209278,0.272413799
93,172,30,27,21.6,6.2,17.9,5.6,ST,-0.624584084,0.073792346,0.271647467,0.98630137,-0.616028138,0.071784486,0.267926269
94,173,26,28,4.2,0.8,3.9,1.1,CL,-0.310093208,0.075066174,0.273982069,0.985507246,-0.305599103,0.07290611,0.270011314
94,174,26,28,33.5,5.7,30.6,4.6,SR,-0.562210693,0.077102499,0.277673367,0.985507246,-0.554062712,0.074883838,0.273649115
94,175,26,28,22.2,6.7,20,6.1,ST,-0.343992343,0.075271479,0.274356482,0.985507246,-0.339006946,0.073105507,0.270380301
95,176,10,10,1.4,0.8,1.2,1.1,SR,-0.207950098,0.201081081,0.448420652,0.957746479,-0.199163474,0.184447316,0.4294733
95,177,10,10,2.1,1.4,2.7,2.7,SR,0.278994333,0.201945946,0.449383963,0.957746479,0.26720584,0.185240638,0.430395908
95,178,10,10,0.4,0.7,0.7,0.7,ST,0.428571429,0.204591837,0.452318291,0.957746479,0.410462777,0.187667656,0.433206251
95,179,10,10,0.8,0.8,1.7,1.2,ST,0.882522608,0.219471154,0.468477485,0.957746479,0.84523292,0.201316131,0.448682662
95,180,10,10,2.6,1.2,2.4,1,LR,-0.181071492,0.200819672,0.44812908,0.957746479,-0.173420584,0.184207531,0.429194048
95,181,10,10,4,3.2,5.6,2.7,LR,0.540435691,0.207301768,0.45530404,0.957746479,0.51760038,0.190153417,0.436065841
